field,description
supplement_record_id,Unique row identifier added in this supplementary file.
source_dataset,Dataset label assigned for this supplement.
manuscript_block,"Manuscript block, table, figure, or appendix item supported by the record."
source_original_relative_path,Original project-relative path from which the submitted record was copied.
source_submitted_file,Submitted raw_records file containing the row.
source_file,"Instance source file when stored, or GENERATED when generated by the experiment driver."
instance_index,Within-suite instance index.
instance_id,Stable instance identifier used to trace repeated seeds or configurations.
config,Experimental configuration or policy label.
run_seed,Seed for the planning run or multi-start search.
status,Run status reported by the driver.
n_tasks,Number of service tasks in the planning instance.
L,Number of available identical drones.
mode,"Search/evaluation mode. Some archived labels retain legacy names such as palns for traceability."
time_total,Total planning runtime in seconds for the row.
palns_obj,Legacy column name for the objective after the pre-refinement PLNS-SA/LNS search stage.
final_obj,Final reported planning objective for the row.
ship_time,Vessel completion-time component from the exact oracle realization.
drone_time,Total drone airborne-time component from the exact oracle realization.
intensify_ran,Whether the OPS-level local-refinement stage was run.
subexp,"Subexperiment label, such as fair planning run or mc execution simulation."
total_time_budget,Planning time budget in seconds.
palns_share,Legacy column name for the share of the time budget assigned to the pre-refinement PLNS-SA/LNS stage.
palns_time_limit,Legacy column name for the pre-refinement PLNS-SA/LNS time limit in seconds.
intensify_time_limit,OPS-level local-refinement time limit in seconds.
dro_enabled,Indicator for reliability-aware effective-speed shrinkage.
eps_sortie,Sortie-level risk budget when used.
hat_out,Outbound leg inflation threshold/effective-speed shrinkage parameter.
hat_in,Inbound leg inflation threshold/effective-speed shrinkage parameter.
dro_clipped_out,Indicator that outbound threshold was clipped at the support cap.
dro_clipped_in,Indicator that inbound threshold was clipped at the support cap.
mc_samples,Number of Monte Carlo wait-and-sync execution scenarios.
mc_seed,Monte Carlo simulation seed.
mc_dist,Distribution family used for flight-time inflation in execution simulation.
mc_corr,Outbound/inbound dependence knob used in execution simulation.
mc_time,Monte Carlo simulation runtime in seconds.
mc_infeasible_rate,Fraction of Monte Carlo scenarios with endurance/feasibility violation.
mc_obj_mean,Mean realized objective over Monte Carlo scenarios.
mc_obj_p90,90th percentile realized objective over Monte Carlo scenarios.
mc_obj_p95,95th percentile realized objective over Monte Carlo scenarios.
mc_makespan_mean,Mean realized vessel makespan over Monte Carlo scenarios.
mc_makespan_p90,90th percentile realized vessel makespan.
mc_makespan_p95,95th percentile realized vessel makespan.
mc_drone_time_mean,Mean realized aggregate drone airborne time over Monte Carlo scenarios.
mc_drone_time_p90,90th percentile realized aggregate drone airborne time.
mc_drone_time_p95,95th percentile realized aggregate drone airborne time.
cert_time,Certificate or monolithic solve time in seconds.
cert_lb,Certificate lower bound.
cert_ub,Certificate upper bound.
cert_gap,Relative certificate gap as reported by the solver.
cert_cuts,"Number of certificate cuts, when applicable."
heur_gap_to_lb,"Heuristic gap to lower bound, when applicable."
layout_id,Layout identifier for generated or public-layout probes.
layout_variant,Layout construction variant.
layout_source,"Layout provenance, such as generated or public_zenodo."
subset_rule,Rule used to select a subset from a public layout.
perturbation_rule,"Coordinate perturbation rule, if any."
policy_type,Policy family label used in execution-comparison runs.
buffer_rule,Buffer rule name for fixed-buffer baselines.
buffer_eta,Uniform inflation/buffer multiplier where applicable.
replan_count,Number of additional replans in staged replanning simulation.
replan_time_total,Total additional replanning time in seconds.
realized_failure_rate,Execution-simulation failure-rate summary where reported.
realized_cost_inflation,Execution-simulation realized cost inflation relative to the planned objective.
mc_R_tol,Numerical tolerance used for endurance/range checks in MC simulation.
n,Number of tasks in validation/certificate tables using the shorter field name.
file,Input file for tiny monolithic certificate runs.
R,Endurance/range parameter when explicitly reported.
J_hyb,Field used in aggregate reproduction or small-validation tables.
J_star_template,Field used in aggregate reproduction or small-validation tables.
best_final_obj,Field used in aggregate reproduction or small-validation tables.
cert_time_s,Field used in aggregate reproduction or small-validation tables.
ci95_final_obj,Field used in aggregate reproduction or small-validation tables.
ci95_time_total_s,Field used in aggregate reproduction or small-validation tables.
combos,Field used in aggregate reproduction or small-validation tables.
corr_label,Field used in aggregate reproduction or small-validation tables.
count,Field used in aggregate reproduction or small-validation tables.
feasible_pct,Field used in aggregate reproduction or small-validation tables.
gain_vs_adjacent_pct,Field used in aggregate reproduction or small-validation tables.
gap_pct,Percent gap reported in validation/certificate tables.
instance,Field used in aggregate reproduction or small-validation tables.
manuscript_item,Field used in aggregate reproduction or small-validation tables.
mean_drone_time,Field used in aggregate reproduction or small-validation tables.
mean_final_obj,Field used in aggregate reproduction or small-validation tables.
mean_mc_infeasible_rate,Field used in aggregate reproduction or small-validation tables.
mean_mc_obj_mean,Field used in aggregate reproduction or small-validation tables.
mean_realized_cost_inflation,Field used in aggregate reproduction or small-validation tables.
mean_replan_count,Field used in aggregate reproduction or small-validation tables.
mean_replan_time_total_s,Field used in aggregate reproduction or small-validation tables.
mean_ship_time,Field used in aggregate reproduction or small-validation tables.
mean_time_total_s,Field used in aggregate reproduction or small-validation tables.
notes,Field used in aggregate reproduction or small-validation tables.
planned_premium_pct,Field used in aggregate reproduction or small-validation tables.
record_scope,Field used in aggregate reproduction or small-validation tables.
t_enum_over_t_hyb,Field used in aggregate reproduction or small-validation tables.
