config,n_tasks,count,mean_obj,mean_time
abl_adjacent,20,50,11293.192552136064,11.977813851999818
abl_adjacent,40,50,15788.677667388365,45.0410340780043
abl_adjacent,60,50,18769.251324478188,76.70868911999395
abl_adjacent,80,50,22651.522168402546,97.42878300199983
abl_no_cache,20,50,11006.040409038198,21.361849085997093
abl_no_cache,40,50,14715.362646262423,54.824585405995606
abl_no_cache,60,50,16181.06673257501,70.69294107000228
abl_no_cache,80,50,18228.986179394007,79.85960860200458
abl_no_dro,20,50,10092.727742167739,7.406472714003176
abl_no_dro,40,50,13275.131468569869,37.27514095600229
abl_no_dro,60,50,14390.847116596096,63.9478844540054
abl_no_dro,80,50,16303.833115513475,76.47189054000424
hybrid_main,20,50,11012.750451122083,7.784145225994289
hybrid_main,40,50,14596.828575520945,38.17542132199975
hybrid_main,60,50,16169.676948982655,64.9673260299943
hybrid_main,80,50,18200.136819878957,76.18496456400258
palns_only,20,50,11087.41332531971,4.042868160000071
palns_only,40,50,14696.784326830897,12.947998811999568
palns_only,60,50,16243.741529701001,25.34201926600188
palns_only,80,50,18371.358084024974,34.42824225200107
