source_file,instance_index,instance_id,layout_id,layout_variant,layout_source,subset_rule,perturbation_rule,config,policy_type,buffer_rule,buffer_eta,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,replan_count,replan_time_total,realized_failure_rate,realized_cost_inflation,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_R_tol,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_adjacent_only,adjacent_only,,,420199,OK,24,3,palns,7.651171300094575,32113.135183921062,32113.135183921062,16.51646353755104,8.966993711298432,False,,,,,public_layout,45.0,1.0,45.0,0.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_adjacent_only,adjacent_only,,,421199,OK,24,3,palns,7.265275800018571,31805.61549137086,31805.61549137086,16.51585069150035,8.2859318129339,False,,,,,public_layout,45.0,1.0,45.0,0.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_adjacent_only,adjacent_only,,,422199,OK,24,3,palns,7.605220300029032,31312.720318347434,31312.720318347434,16.235303784566295,8.250453076854964,False,,,,,public_layout,45.0,1.0,45.0,0.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_interleaved_palns,interleaved_palns,,,420591,OK,24,3,palns,5.810638600029051,29734.78750249598,29734.78750249598,14.390638839288354,11.71266994601283,False,,,,,public_layout,45.0,1.0,45.0,0.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_interleaved_palns,interleaved_palns,,,421591,OK,24,3,palns,5.498638799996115,29671.66062514413,29671.66062514413,14.150771559998518,12.478553273659236,False,,,,,public_layout,45.0,1.0,45.0,0.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_interleaved_palns,interleaved_palns,,,422591,OK,24,3,palns,5.838995500002056,29725.099991947518,29725.099991947518,14.318222257251831,11.964715899154244,False,,,,,public_layout,45.0,1.0,45.0,0.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_interleaved_hybrid,interleaved_hybrid,,,420924,OK,24,3,hybrid,13.267674800008535,29499.777094331388,29462.469679901587,14.383758234279208,11.133512625837632,True,,,,,public_layout,45.0,1.0,45.0,20.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_interleaved_hybrid,interleaved_hybrid,,,421924,OK,24,3,hybrid,12.534635900054127,29721.203133360883,29574.724362220866,14.44636595708354,11.146449411508543,True,,,,,public_layout,45.0,1.0,45.0,20.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
DROBaseline\artifacts\results\EJOR_public_layout_probe\hornsrev1_public_n24_L3_scaled.json,0,hornsrev1_public_n24_L3_scaled,HornsRev1,first_24_turbines_affine_scaled,public_zenodo,first_24_turbine_rows_after_substation,none,public_interleaved_hybrid,interleaved_hybrid,,,422924,OK,24,3,hybrid,12.717268300009891,29727.858149711687,29597.350041271176,14.490331272432305,11.030637506969454,True,,,,,public_layout,45.0,1.0,45.0,20.0,1,,1.2,1.2,1,1,,,,,0.0001,,,,,,,,,,,,,,,,,
